sintomas,especialidad
"Doctor, tengo alucinaciones auditivas hace una semana.",Psiquiatría
Siento que tengo el cuello tieso por el frenazo de inicio súbito.,Traumatología
Ayúdeme con prurito vulvar de inicio súbito.,Ginecología
Indica tener tengo bolas en el cuello y axilas de inicio súbito.,Infectología
Hay presencia de paso con frío todo el tiempo intermitente.,Endocrinología
Acude por presentar me duele la muela horrible que no pasa.,Odontología
"Se me ponen los dedos blancos con el frío, acompañado de me duelen todas las uniones.",Reumatología
Desde ayer tengo epigastralgia urente constante.,Gastroenterología
Otalgia derecha y siente hipoacusia súbita.,Otorrinolaringología
"Todo lo que come lo vomita, también refiere el guagua está hirviendo en fiebre.",Pediatría
Paciente refiere que tos ferina desde esta mañana.,Pediatría
Tengo un dolorcito de cabeza con tengo moquera clara.,Medicina General
"Dolor poliarticular, también refiere rigidez articular.",Reumatología
Presento me dio un soponcio y me caí desde hace 3 días.,Cardiología
Siento que odontalgia severa que no pasa.,Odontología
Dermatitis de contacto y siente edema angioneurótico.,Alergología
Presento vértigo posicional intermitente.,Otorrinolaringología
Ayúdeme con tengo el colon inflamado desde hace 3 días.,Gastroenterología
Me hinca el corazón con siento como una pata de elefante en el pecho.,Cardiología
Siento hormigueo en medio cuerpo con le dio el ataque y se sacudió.,Neurología
Siento que me punza la espalda al respirar desde esta mañana.,Neumología
"Doctor, tengo me duelen todas las uniones hace una semana.",Reumatología
Siento que dolor en fosa renal desde hace 3 días.,Nefrología
Estoy aventado y siente estoy vomitando sangre.,Gastroenterología
Ayúdeme con disuria y polaquiuria constante.,Urología
Manifiesta tengo un dolorcito de cabeza de inicio súbito.,Medicina General
Presento cólico renoureteral desde hace 3 días.,Urología
Acude por presentar me cae mal todo lo que como de inicio súbito.,Gastroenterología
Acude por presentar el nene no para de llorar desde esta mañana.,Pediatría
Siento que migraña con aura hace una semana.,Neurología
Me da estoy orinando sangre de inicio súbito.,Urología
Hay presencia de tengo la cara llena de granos feos de inicio súbito.,Dermatología
Acude por presentar se me están enchuecando los dedos constante.,Reumatología
Manifiesta todo me da vueltas y me tumba desde hace 3 días.,Neurología
Ayúdeme con cólico renoureteral hace una semana.,Urología
Siento que temblor distal fino constante.,Endocrinología
"Odontalgia severa, acompañado de gingivorragia.",Odontología
Paciente refiere que se me está cayendo el pelo por parches hace una semana.,Dermatología
Manifiesta paso estornudando todo el día desde esta mañana.,Alergología
Presenta dolor pleurítico y dice que me punza la espalda al respirar.,Neumología
Rigidez articular y siente fenómeno de Raynaud.,Reumatología
Tengo una fiebre que no se me va con mojo la cama de sudor en la noche.,Infectología
Tengo el nene no para de llorar constante.,Pediatría
Se queja de se cortó feo y sale mucha sangre desde esta mañana.,Emergencias
Ayúdeme con estoy engordando sin comer tanto desde hace 3 días.,Endocrinología
Desde ayer tengo amanecí con los ojos hinchados desde hace 3 días.,Nefrología
"Tengo un nacido en la encía, acompañado de me sangran las encías al cepillarme.",Odontología
Miodesopsias y siente diplopía.,Oftalmología
Presento me sale sangre de la nariz constante.,Otorrinolaringología
Presento me duele la barriga un poco desde hace 3 días.,Medicina General
Paciente refiere que se cortó feo y sale mucha sangre desde esta mañana.,Emergencias
Acude por presentar angina de pecho estable desde esta mañana.,Cardiología
Paciente refiere que la orina sale con mucha espuma desde esta mañana.,Nefrología
Me da tengo el ojo rojo como tomate desde esta mañana.,Oftalmología
Me da miodesopsias de inicio súbito.,Oftalmología
"Doctor, tengo me tiemblan las manos hace una semana.",Endocrinología
Siento que me chilla el pecho al respirar de inicio súbito.,Neumología
Desde ayer tengo tengo problemas de potencia sexual desde esta mañana.,Urología
"Doctor, tengo se cortó feo y sale mucha sangre desde hace 3 días.",Emergencias
Me da pirexia no cuantificada que no pasa.,Pediatría
Angina de pecho estable y siente disnea de esfuerzo.,Cardiología
Indica tener rechinar los dientes al dormir de inicio súbito.,Odontología
Presento me salieron ampollas dolorosas intermitente.,Infectología
"No puedo pegar el ojo en toda la noche, sumado a escucho voces que nadie más oye.",Psiquiatría
Acude por presentar ictericia marcada hace una semana.,Gastroenterología
Acude por presentar me tiemblan las manos hace una semana.,Endocrinología
Presento sudo demasiado sin hacer nada hace una semana.,Endocrinología
Se queja de amanecí con los ojos hinchados de inicio súbito.,Nefrología
Siento que disminución de la agudeza visual desde esta mañana.,Oftalmología
"Tengo problemas de potencia sexual, acompañado de me arde para orinar y voy a cada rato.",Urología
Se queja de prurito ocular y nasal desde esta mañana.,Alergología
Paciente refiere que hipertensión arterial descontrolada constante.,Cardiología
Ayúdeme con acné nódulo-quístico desde hace 3 días.,Dermatología
Acude por presentar tengo morado y soplado después del golpe hace una semana.,Traumatología
Presento se rompió la cabeza en la caída desde esta mañana.,Emergencias
"Se quemó con agua hirviendo, acompañado de se tomó un veneno.",Emergencias
Hay presencia de me siento una bola dura que no duele intermitente.,Oncología
Halitosis y además gingivorragia.,Odontología
Vértigo periférico y además crisis convulsiva tónico-clónica.,Neurología
Se queja de epistaxis anterior constante.,Otorrinolaringología
"Doctor, tengo me enronché después de tomar la pastilla desde esta mañana.",Alergología
Presento mastalgia cíclica que no pasa.,Ginecología
"Hipoacusia súbita, sumado a epistaxis anterior.",Otorrinolaringología
Me salió alergia por tocar algo y siente se me hinchó la boca y los ojos.,Alergología
Manifiesta casi no estoy orinando nada constante.,Nefrología
Presento fotofobia constante.,Oftalmología
Hay presencia de estoy amarillo como patito desde hace 3 días.,Gastroenterología
Desde ayer tengo me duele la espalda baja a los lados de inicio súbito.,Nefrología
"Paso estornudando todo el día, acompañado de me pica la nariz y los ojos.",Alergología
Manifiesta me cae mal todo lo que como de inicio súbito.,Gastroenterología
Tengo tengo problemas de potencia sexual hace una semana.,Urología
Desde ayer tengo tengo una picazón allá abajo que no pasa.,Ginecología
"Hipertensión resistente, acompañado de proteinuria espumosa.",Nefrología
Hipoacusia súbita y siente odinofagia intensa.,Otorrinolaringología
Manifiesta no puedo ni tragar del dolor de garganta desde hace 3 días.,Otorrinolaringología
Desde ayer tengo dolor en fosa renal constante.,Nefrología
Paciente refiere que gingivorragia intermitente.,Odontología
Desde ayer tengo la orina sale con mucha espuma de inicio súbito.,Nefrología
Presenta reflujo gastroesofágico y dice que me arde la boca del estómago.,Gastroenterología
Se queja de rigidez articular desde hace 3 días.,Reumatología
Siento que angina de pecho estable constante.,Cardiología
Ayúdeme con se me salió el hueso desde hace 3 días.,Traumatología
Paciente refiere que tengo mucha sed y orino bastante de inicio súbito.,Endocrinología
Indica tener edema periorbitario que no pasa.,Nefrología
Se queja de paso estornudando todo el día de inicio súbito.,Alergología
Tengo se me están enchuecando los dedos hace una semana.,Reumatología
Dolor precordial opresivo y siente síncope vasovagal.,Cardiología
Paciente refiere que me dio un soponcio y me caí que no pasa.,Cardiología
Se queja de tengo problemas de potencia sexual desde hace 3 días.,Urología
Desde ayer tengo hipertensión resistente constante.,Nefrología
"Hay presencia de no tengo ganas de hacer nada, solo llorar de inicio súbito.",Psiquiatría
Se queja de ictericia marcada constante.,Gastroenterología
Bruxismo y además absceso periodontal.,Odontología
Se queja de pirexia no cuantificada que no pasa.,Pediatría
Me da palpitaciones taquicárdicas constante.,Cardiología
Presenta hiperemia conjuntival y dice que la luz me molesta muchísimo.,Oftalmología
Ayúdeme con se me están enchuecando los dedos hace una semana.,Reumatología
Ayúdeme con me pica la nariz y los ojos hace una semana.,Alergología
Me da estoy orinando sangre constante.,Urología
Paciente refiere que el nene no para de llorar desde hace 3 días.,Pediatría
Presenta miodesopsias y dice que veo mosquitas volando.,Oftalmología
Acude por presentar me ahogo cuando estoy durmiendo hace una semana.,Neumología
"Ánimo depresivo persistente, también refiere crisis de ansiedad generalizada.",Psiquiatría
Indica tener dolor poliarticular constante.,Reumatología
Ya no veo bien las letras de lejos y además tengo el ojo rojo como tomate.,Oftalmología
Se queja de colitis ulcerosa hace una semana.,Gastroenterología
Presento la luz me molesta muchísimo hace una semana.,Oftalmología
Tengo fiebre de origen desconocido desde hace 3 días.,Infectología
"Dermatitis atópica, también refiere nevus displásico.",Dermatología
Me da quemadura de segundo grado intermitente.,Emergencias
Presenta absceso periodontal y dice que me sangran las encías al cepillarme.,Odontología
"Dermatitis de contacto, también refiere rinitis alérgica estacional.",Alergología
Se queja de intolerancia al frío constante.,Endocrinología
Se queja de me arde la boca del estómago que no pasa.,Gastroenterología
"Tos productiva con esputo, acompañado de sibilancias espiratorias.",Neumología
Me da disfunción eréctil desde hace 3 días.,Urología
Ayúdeme con fotofobia de inicio súbito.,Oftalmología
Manifiesta disfunción eréctil de inicio súbito.,Urología
"Pérdida de peso caquectizante, acompañado de cambios en hábito intestinal.",Oncología
"Ayúdeme con no tengo ganas de hacer nada, solo llorar desde esta mañana.",Psiquiatría
Me da tengo la cara llena de granos feos desde hace 3 días.,Dermatología
Me duele todo el cuerpo y siente tengo moquera clara.,Medicina General
Ayúdeme con aumento de peso injustificado desde esta mañana.,Endocrinología
Dolor poliarticular con rigidez articular.,Reumatología
Me tiemblan las manos y además paso con frío todo el tiempo.,Endocrinología
"Tengo sangre en las heces, sumado a se me atranca la comida al pasar.",Oncología
Tengo me baja la regla muy fuerte y a deshora desde hace 3 días.,Ginecología
Siento que ideación suicida que no pasa.,Psiquiatría
Me punza la espalda al respirar y además estoy tosiendo sangre.,Neumología
Ayúdeme con tengo una picazón allá abajo desde hace 3 días.,Ginecología
"Doctor, tengo dolor abdominal inespecífico desde hace 3 días.",Medicina General
Desde ayer tengo reacción a medicamentos de inicio súbito.,Alergología
Hay presencia de acné nódulo-quístico constante.,Dermatología
Manifiesta me tiemblan las manos de inicio súbito.,Endocrinología
Edema angioneurótico y siente prurito ocular y nasal.,Alergología
Manifiesta tengo la cara llena de granos feos hace una semana.,Dermatología
"Me ahogo cuando estoy durmiendo, acompañado de me chilla el pecho al respirar.",Neumología
Hay presencia de cólico renoureteral que no pasa.,Urología
Tengo tengo mucha sed y orino bastante desde esta mañana.,Endocrinología
Indica tener paso con frío todo el tiempo desde hace 3 días.,Endocrinología
Tengo tiene una tos que no se le quita intermitente.,Pediatría
Presento fiebre de origen desconocido constante.,Infectología
Manifiesta se tomó un veneno que no pasa.,Emergencias
Edema periorbitario y además hipertensión resistente.,Nefrología
Ayúdeme con me siento una bola dura que no duele que no pasa.,Oncología
Me sale sangre de la nariz y además me duele full el oído derecho.,Otorrinolaringología
Me estoy secando de lo flaco con me siento una bola dura que no duele.,Oncología
Hay presencia de odinofagia intensa hace una semana.,Otorrinolaringología
Hay presencia de me mareo si muevo la cabeza desde hace 3 días.,Otorrinolaringología
Desde ayer tengo tengo hongos en la piel intermitente.,Dermatología
